Topic,Count,Name,Representation,Representative_Docs
-1,48,-1_school need plan_lot school need_think need_help make ai,"['school need plan', 'lot school need', 'think need', 'help make ai', 'like think need', 'think', 'create', 'understand', 'help', 'plan']","['sel crap really think people understand horrible think just understand emotion common core bad collective dumbing long sorry straw', 'work agency support autistic caregiver feel comfortable sharing encourage caregiver join adapt think need help time get hand continue pay', 'need ai create plan specify format choice poorly write plan take time take ai form interested help make ai work well feel free email need']"
0,51,0_cancel month_try cancel month_try cancel_cancel free,"['cancel month', 'try cancel month', 'try cancel', 'cancel free', 'need cancel', 'cancel cancel', 'cancel time', 'think cancel', 'cancel', 'month charge']","['try cancel month continue charge use like refund', 'notify 90 payment come account today reminder receive option renew cancel seriously think cancel january do download pdf day ago figure free section see able warning say automatically renew', 'make say want cancel time sad lead believe iyt cancel cancel month charge say cancel time cool']"
1,35,1_print download_phone download social_page print_printable,"['print download', 'phone download social', 'page print', 'printable', 'file', 'ton want download', 'file everyday computer', 'download download', 'download zip', 'file ton want']","['get assignment son need photo tri board keep month know soon time come choose bunch plan come today website difficult look 3 download do actually categorize just ask question know extremely disappointed believe spend literally', 'good zip file download instead just have access print download zip file ton want download zip file everyday just want download zip file everyday computer phone', 'scholastic teachable like printable well cover subject printable feel like busywork way vs printable scholastic prefer scholastic artwork artwork vectorish expensive actually use scheduling recommend customer purchase pay properly preview item scheduling cancel come later']"
2,18,2_math school math_school math_addition subtraction_math,"['math school math', 'school math', 'addition subtraction', 'math', 'math standard', 'basic addition', 'math look like', 'science math stuff', 'school math look', 'look color number']","['just culturallinguistic difference american australian business math understand reference use edit make change', 'secondary elementary stuff partially utilise art class force increase information difficulty make standard 912th grader 5 minute', 'look color number multiple 68 math standard look practice 68 math standard']"
3,14,3_love website able_able website afford_site thank love_thank love site,"['love website able', 'able website afford', 'site thank love', 'thank love site', 'website afford kind', 'love site love', 'love site', 'site expand love', 'site love site', 'love site expand']","['plan continue future fulfill money maintain need love site thank', 'site amazing just afford additional bill moment work hopefully ill able join soon thank', 'absolutely love service highly autistic 7 old use time long afford si gle mom recently lose main source income']"
4,11,4_look english phonic_read ability_improve read ability_improve read,"['look english phonic', 'read ability', 'improve read ability', 'improve read', 'world look vocabulary', 'read', 'look vocabulary grammar', 'vocabulary grammar level', 'reading', 'read ability like']","['mexico say mexico north america read cactus say south america', 'world language look vocabulary grammar level a1a2b1 french spanish chinese reading passage target cultural unit support', ""phoneme story multiple spelling digraphs say sound successful way quickly improve read ability like word say ' sh ' include spelling sh ch ti ci use""]"
5,9,5_need access school_school place provide_school usa need_outside able school,"['need access school', 'school place provide', 'school usa need', 'outside able school', 'able school site', 'access school assignment', 'think introduce school', 'school site lot', 'school implement strict', 'introduce school place']","['school implement strict follow time incorporate outside', 'introduce school place provide need just unaware school thank trial work', 'use international school usa need assistance study private school entrance exam isee ssat hspt shsat']"
6,8,6_purchase daughter summer_summer need_need summer_need summer potentially,"['purchase daughter summer', 'summer need', 'need summer', 'need summer potentially', 'summer need right', 'school plan buy', 'thank summer need', 'daughter summer', 'purchase daughter', 'summer month school']","['purchase daughter summer month school need thank', 'parent use twinkle supplemental work help daughter work tutor thank', 'market sex germany barbie sex doll america childs toy']"
7,8,7_expensive consider subscribe_justify monthly cost_price just justify_reasonable occasional price,"['expensive consider subscribe', 'justify monthly cost', 'price just justify', 'reasonable occasional price', 'occasional price', 'originally want purchase', 'reasonably price', 'reasonably price just', 'justify pay able', 'like price significantly']","['price 4995 reasonable occasional price 90 site â€™s sadly way supplement', 'feel like price significantly increase year good reason justify nearly 90 spend', 'able incorporate like demand support cost think cost unreasonable just need cut budget overall reasonably price just justify pay able frequently completely pleased item download use']"
8,7,8_special education just_school special education_special ed_special education,"['special education just', 'school special education', 'special ed', 'special education', 'special education look', 'stuff special education', 'special education school', 'special education interactive', 'modification special ed', 'elementary special education']","['need modification special ed board maker symbol good special lead', 'school special education just population work justify keep account thank introduction know', 'nonchildish special ed teenager special need cognitivelyappropriate infantilize easy just make']"
9,7,9_parish provide bible_provide bible_christian content_secular educational,"['parish provide bible', 'provide bible', 'christian content', 'secular educational', 'provide bible originally', 'educate standard basic', 'parish provide', 'information', 'test parish provide', 'adequate correctly educate']","['parish provide bible originally time start date receipt provide tell friend think offering creative abundant', 'basic adequate correctly educate standard basic information like part fish ton information thing matter proper information christmas actually list go information skewed biased', 'lot thing look available primarily nondenominational bible study grader catholic struggle specific thing want like map plymouth colony finally 90year bargain think ill 90 worth']"
10,6,10_good site retire_site retire need_retire need place_site retire,"['good site retire', 'site retire need', 'retire need place', 'site retire', 'place long site', 'place long', 'retire 12 plethora', 'retire watch', 'include retire', 'retire 12']","['far good site retire need', 'thank do retire 12 plethora include get', 'retire watch penny long member year']"
11,6,11_switch level pathsplan_change district_experience change district_change district level,"['switch level pathsplan', 'change district', 'experience change district', 'change district level', 'change career 54', 'switch level', 'need change career', 'experience change', 'try way switch', 'change']","['work 512th struggle find meet state level rigor', 'experience change district level pay try balance guy', 'education get political old season feel need change career 54 thank']"
12,4,12_appreciate volume creative_make useful_creative option provide_greatly make useful,"['appreciate volume creative', 'make useful', 'creative option provide', 'greatly make useful', 'variety meeting need', 'provide awesome', 'volume creative option', 'volume creative', 'make useful work', 'modify greatly make']","['appreciate volume creative option provide lead', 'modify greatly make useful work just create', 'guy provide awesome wonder kind work cite make reliable educational materialsactvitie']"
13,4,13_useful especially spanish_option spanish_downloand spanish_spanish inmersion,"['useful especially spanish', 'option spanish', 'downloand spanish', 'spanish inmersion', 'spanish site', 'select downloand spanish', 'add option spanish', 'spanish site incredibly', 'option spanish art', 'spanish inmersion hispanic']","['spanish inmersion program hispanic month nee spanish', 'add option spanish art ease select downloand spanish language', 'computer look google slide format far spanish site']"
14,4,14_new job switch_new job_job switch_afford new job,"['new job switch', 'new job', 'job switch', 'afford new job', 'time new job', 'job switch job', 'switch job', 'new job husband', 'switch job long', 'job']","['husband lose job feel justify expense rejoin future', 'switch job long access email associate account open new account different email', 'unexpectedly release position begin september do realize subscribe service unemployed afford new job']"
