Topic,Words,Frequency,Timestamp
-1,"school waiting long, accept school waiting, bummer think advertise, waiting long need, long need dissatisfied",5,2024-07-31 20:19:40.800
0,"cancel free trial, cancel help, cancel free, cancel help page, try cancel",10,2024-07-31 20:19:40.800
1,"print download, gallery download, download, design exist hard, item digital",6,2024-07-31 20:19:40.800
2,"math school math, math look like, school math look, school math, math school",1,2024-07-31 20:19:40.800
3,"love site expand, site expand love, love site thank, thank love site, love site",3,2024-07-31 20:19:40.800
4,"look english phonic, dual printable englishmandarin, english phonic, read copywriting, english phonic game",4,2024-07-31 20:19:40.800
5,"allow instructional outside, countystate allow instructional, instructional outside able, school implement strict, outside able school",2,2024-07-31 20:19:40.800
6,"need summer potentially, need summer, potentially summer, summer potentially summer, summer need",2,2024-07-31 20:19:40.800
7,"justify nearly 90, price significantly increase, nearly 90 spend, 90 spend, like price significantly",1,2024-07-31 20:19:40.800
8,"special ed board, modification special ed, need modification special, board maker symbol, special lead",1,2024-07-31 20:19:40.800
9,"basic information, educate standard basic, basic information like, basic adequate, standard basic information",2,2024-07-31 20:19:40.800
10,"good site retire, site retire need, retire need place, site retire, retire need",1,2024-07-31 20:19:40.800
12,"guy provide awesome, make reliable educational, reliable educational materialsactvitie, provide awesome, guy provide",1,2024-07-31 20:19:40.800
-1,"afterschool need product, file available free, encourage caregiver, office need, elementary afterschool need",11,2024-08-31 14:24:00.000
0,"month cancel, cancel trial, charge month, month charge, free trial end",11,2024-08-31 14:24:00.000
1,"page print frustrating, cut page print, print frustrating print, page print, page open print",7,2024-08-31 14:24:00.000
2,"computer science math, math stuff apply, apply justify rigorous, math alot, stuff apply justify",3,2024-08-31 14:24:00.000
3,"hope utilize wonderful, utilize wonderful ill, love website able, hope utilize, utilize wonderful",2,2024-08-31 14:24:00.000
5,"introduce school place, school place provide, school site, introduce school, school place",2,2024-08-31 14:24:00.000
6,"summer month school, purchase daughter summer, summer need, summer need right, buy annual school",3,2024-08-31 14:24:00.000
7,"justify monthly cost, monthly cost start, monthly cost, expensive consider subscribe, justify monthly",2,2024-08-31 14:24:00.000
8,"special education interactive, internet special education, special ed, special education, elementary special education",2,2024-08-31 14:24:00.000
9,"science english flound, look various subject, math science english, science english, science specifically wind",2,2024-08-31 14:24:00.000
10,"place long site, long site, place long, need place long, long site think",1,2024-08-31 14:24:00.000
11,"experience change district, district level pay, change district level, change district, level pay",1,2024-08-31 14:24:00.000
13,"inmersion hispanic month, hispanic month, hispanic month nee, spanish inmersion, spanish inmersion hispanic",1,2024-08-31 14:24:00.000
-1,"school subscribe email, create plan, subscribe email address, write plan, email",8,2024-09-23 13:12:00.000
0,"charge apparently cancel, cancel month, actually cancel frustrating, think cancel, cancel cancel",13,2024-09-23 13:12:00.000
1,"poster download difficult, download print, download difficult, download difficult indicate, know download hard",5,2024-09-23 13:12:00.000
2,"math standard, key math, math, level math, stuff adjust assignment",5,2024-09-23 13:12:00.000
3,"love site highly, site highly love, absolutely love site, love helpful, utilize absolutely love",5,2024-09-23 13:12:00.000
4,"comprehension passage sciencesocial, comprehension passage, vocabulary grammar, vocabulary grammar level, reading comprehension passage",2,2024-09-23 13:12:00.000
6,"junior school need, junior school, school need anymore, thank junior school, school need",1,2024-09-23 13:12:00.000
7,"just afford time, afford time, like just afford, just afford, want purchase outright",2,2024-09-23 13:12:00.000
8,"special education just, school special education, education school justify, special ed, special education school",1,2024-09-23 13:12:00.000
10,"think future old, future old, think future, site think future, future",1,2024-09-23 13:12:00.000
11,"switch ultimate core, try way switch, way switch ultimate, ultimate core option, core option",1,2024-09-23 13:12:00.000
12,"variety meeting need, variety, meeting need, variety meeting, materialsactvitie variety",1,2024-09-23 13:12:00.000
14,"site subscribe soon, good site subscribe, site subscribe, subscribe soon time, subscribe soon",1,2024-09-23 13:12:00.000
-1,"scope need, afford time look, site resourcesjust need, time invest soon, time invest",8,2024-10-31 19:12:00.000
0,"try cancel month, cancel month, cancel month continue, cancel monthly, try cancel",10,2024-10-31 19:12:00.000
1,"print want, print require prep, interactive just print, need clipart, want print",10,2024-10-31 19:12:00.000
2,"school math majority, create school math, school math, math 912, math alot recreation",3,2024-10-31 19:12:00.000
3,"lifesaver wiggle room, love helpful, lifesaver, able applicable, able applicable early",2,2024-10-31 19:12:00.000
4,"traditional chinese 5yearold, chinese 5yearold, 5yearold especially phonetic, chinese 5yearold especially, phonetic symbol zhuyin",1,2024-10-31 19:12:00.000
7,"just occasionally niece, occasionally niece, need time anymore, excellent need time, anymore just occasionally",1,2024-10-31 19:12:00.000
8,"specialty school service, school service really, stuff special education, school service, specialty school",1,2024-10-31 19:12:00.000
9,"christian educator work, christian content promote, christian educator, christian content, parish provide bible",3,2024-10-31 19:12:00.000
11,"position change intervention, position change, switch level pathsplan, change intervention need, need change",3,2024-10-31 19:12:00.000
14,"switch job long, account different email, job switch, job switch job, new job switch",1,2024-10-31 19:12:00.000
-1,"vocational school special, vocational, variety quality need, quality need, quality need justify",6,2024-11-23 18:00:00.000
0,"charge past month, month charge, account charge, month charge long, account charge past",4,2024-11-23 18:00:00.000
1,"download useful, haad download useful, mobile device, make website, specifoc preview download",3,2024-11-23 18:00:00.000
2,"school math, school chemistry, level secondary elementary, elementary stuff, basic addition subtraction",3,2024-11-23 18:00:00.000
3,"affordable definitely resubscribe, definitely resubscribe, wonderful affordable definitely, resubscribe, wonderful affordable",1,2024-11-23 18:00:00.000
5,"need access school, access school, access school assignment, school user password, school usa need",3,2024-11-23 18:00:00.000
8,"school special education, special education look, special education just, special education, stuff special education",1,2024-11-23 18:00:00.000
10,"retire 12 plethora, retire 12, retire watch penny, thank retire 12, retire watch",2,2024-11-23 18:00:00.000
11,"work 512th struggle, work 512th, 512th struggle, 512th struggle meet, know work 512th",1,2024-11-23 18:00:00.000
12,"appreciate volume creative, volume creative option, appreciate volume, volume creative, need appreciate volume",1,2024-11-23 18:00:00.000
13,"spanish computer look, spanish computer, computer look google, look google slide, nee spanish computer",1,2024-11-23 18:00:00.000
14,"afford new job, job husband lose, time new job, husband lose job, new job husband",2,2024-11-23 18:00:00.000
-1,"align need, school align, organize difficult, organize, plan make",10,2024-12-24 08:24:00.000
0,"try cancel month, cancel month, cancel month time, think cancel, try cancel",3,2024-12-24 08:24:00.000
1,"way print download, print download, page print, available pdf, issue like illustration",4,2024-12-24 08:24:00.000
2,"insufficient level subjectcurriculum, limited physical education, need enhance learn, low insufficient, level subjectcurriculum",3,2024-12-24 08:24:00.000
3,"fulfill money maintain, plan continue future, continue future fulfill, future fulfill money, plan continue",1,2024-12-24 08:24:00.000
4,"russian immersion english, immersion english renew, immersion english, english renew, improve read",4,2024-12-24 08:24:00.000
5,"grammar world school, private school excellent, private school, school excellent love, add grammar world",2,2024-12-24 08:24:00.000
6,"sex germany barbie, parent twinkle supplemental, germany barbie sex, daughter work tutor, help daughter work",2,2024-12-24 08:24:00.000
7,"reasonable occasional price, reasonably price, reasonably price just, 4995 reasonable occasional, occasional price",2,2024-12-24 08:24:00.000
8,"cognitivelyappropriate infantilize easy, nonchildish special ed, special need cognitivelyappropriate, cognitivelyappropriate infantilize, infantilize easy",1,2024-12-24 08:24:00.000
10,"long work population, long work, work population, long member long, member long work",1,2024-12-24 08:24:00.000
12,"modify greatly make, modify greatly, greatly make useful, make useful, modify",1,2024-12-24 08:24:00.000
13,"useful especially spanish, option spanish, select downloand spanish, spanish hard come, add option spanish",2,2024-12-24 08:24:00.000
